,date,shakes
431,1389/6/24,18555.7
432,1389/6/27,18657.7
433,1389/6/28,18487.6
434,1389/6/29,18303.3
435,1389/6/30,18413.0
436,1389/6/31,18548.6
437,1389/7/3,18673.3
438,1389/7/4,18527.8
439,1389/7/5,18405.6
440,1389/7/6,18535.3
441,1389/7/7,18671.3
442,1389/7/10,18790.4
443,1389/7/11,18762.4
444,1389/7/13,18749.9
445,1389/7/14,18871.8
446,1389/7/17,18937.7
447,1389/7/18,18642.0
448,1389/7/19,18564.0
449,1389/7/20,18283.0
450,1389/7/21,17902.5
451,1389/7/24,17973.1
452,1389/7/25,18111.1
453,1389/7/26,18343.8
454,1389/7/27,18292.9
455,1389/7/28,18229.5
456,1389/8/1,18324.6
457,1389/8/2,18163.7
458,1389/8/3,18035.9
459,1389/8/4,18006.1
460,1389/8/5,17956.4
461,1389/8/8,18034.9
462,1389/8/9,18011.0
463,1389/8/10,17972.9
464,1389/8/11,17960.5
465,1389/8/12,17976.7
466,1389/8/15,18089.8
467,1389/8/16,18015.9
468,1389/8/17,17969.5
469,1389/8/18,18038.5
470,1389/8/19,18113.4
471,1389/8/22,18044.3
472,1389/8/23,18042.1
473,1389/8/24,18035.6
474,1389/8/25,18021.0
475,1389/8/29,18062.5
476,1389/8/30,18133.7
477,1389/9/1,18257.8
478,1389/9/2,18226.6
479,1389/9/3,18289.2
480,1389/9/6,18427.7
481,1389/9/7,18404.5
482,1389/9/8,18284.7
483,1389/9/9,18242.6
484,1389/9/10,18280.0
485,1389/9/13,18292.4
486,1389/9/14,18319.3
487,1389/9/15,18291.9
488,1389/9/16,18317.3
489,1389/9/17,18371.2
490,1389/9/20,18460.3
491,1389/9/21,18443.7
492,1389/9/22,18414.7
493,1389/9/23,18414.3
494,1389/9/27,18366.4
495,1389/9/28,18203.4
496,1389/9/29,18249.7
497,1389/9/30,18353.1
498,1389/10/1,18398.9
499,1389/10/4,18585.8
500,1389/10/5,18723.1
501,1389/10/6,18689.0
502,1389/10/7,18771.4
503,1389/10/8,18855.2
504,1389/10/11,18849.1
505,1389/10/12,18898.1
506,1389/10/13,19021.0
507,1389/10/14,19200.4
508,1389/10/15,19361.5
509,1389/10/18,19451.5
510,1389/10/19,19699.9
511,1389/10/20,19690.9
512,1389/10/21,19778.6
513,1389/10/22,19759.1
514,1389/10/25,19705.3
515,1389/10/26,19830.6
516,1389/10/27,19904.7
517,1389/10/28,19937.9
518,1389/10/29,20206.6
519,1389/11/2,20352.7
520,1389/11/3,20416.0
521,1389/11/4,20462.6
522,1389/11/6,20684.8
523,1389/11/9,20905.9
524,1389/11/10,20877.6
525,1389/11/11,20997.1
526,1389/11/12,21349.4
527,1389/11/16,21810.7
528,1389/11/17,21840.0
529,1389/11/18,21944.4
530,1389/11/19,21867.4
531,1389/11/20,21929.0
532,1389/11/23,22000.5
533,1389/11/24,22136.5
534,1389/11/25,22260.4
535,1389/11/26,22270.4
536,1389/11/27,22188.3
537,1389/11/30,22090.3
538,1389/12/1,21762.2
539,1389/12/3,21739.4
540,1389/12/4,21749.5
541,1389/12/7,21867.9
542,1389/12/8,21900.5
543,1389/12/9,21663.3
544,1389/12/10,21472.9
545,1389/12/11,21694.0
546,1389/12/14,21843.2
547,1389/12/15,21929.3
548,1389/12/16,21891.8
549,1389/12/17,22033.2
550,1389/12/18,22062.6
551,1389/12/21,21895.2
552,1389/12/22,22008.8
553,1389/12/23,22236.9
554,1389/12/24,22455.7
555,1389/12/25,22803.8
556,1389/12/28,23294.9
557,1390/1/6,23756.3
558,1390/1/7,24199.8
559,1390/1/8,24287.8
560,1390/1/9,24486.6
561,1390/1/10,24486.0
562,1390/1/14,24543.6
563,1390/1/15,25023.3
564,1390/1/16,25550.4
565,1390/1/17,25885.1
566,1390/1/20,26222.7
567,1390/1/21,26002.6
568,1390/1/22,26145.2
569,1390/1/23,26412.7
570,1390/1/24,26541.9
571,1390/1/27,26675.9
572,1390/1/28,26446.6
573,1390/1/29,26429.2
574,1390/1/30,26215.4
575,1390/1/31,26481.5
576,1390/2/3,26610.1
577,1390/2/4,26539.7
578,1390/2/5,26261.5
579,1390/2/6,26273.6
580,1390/2/7,25781.8
581,1390/2/10,25321.7
582,1390/2/11,24685.3
583,1390/2/12,25037.7
584,1390/2/13,25211.2
585,1390/2/14,25520.2
586,1390/2/18,25366.6
587,1390/2/19,25752.7
588,1390/2/20,26041.7
589,1390/2/21,26002.8
590,1390/2/24,26033.6
591,1390/2/25,25908.5
592,1390/2/26,25759.7
593,1390/2/27,25773.4
594,1390/2/28,25940.8
595,1390/2/31,26155.6
596,1390/3/1,26055.5
597,1390/3/2,26059.8
598,1390/3/3,25861.9
599,1390/3/4,25290.7
600,1390/3/7,25043.4
601,1390/3/8,24600.6
602,1390/3/9,24865.3
603,1390/3/10,25120.9
604,1390/3/16,25291.8
605,1390/3/17,25123.1
606,1390/3/18,25286.5
607,1390/3/21,25245.1
608,1390/3/22,25121.7
609,1390/3/23,25237.5
610,1390/3/24,25043.3
611,1390/3/25,24854.8
612,1390/3/28,25187.4
613,1390/3/29,25214.1
614,1390/3/30,25120.9
615,1390/3/31,25181.6
616,1390/4/1,25126.1
617,1390/4/4,25023.5
618,1390/4/5,24674.9
619,1390/4/6,24148.6
620,1390/4/7,24180.5
621,1390/4/8,24503.5
622,1390/4/11,24742.2
623,1390/4/12,24742.7
624,1390/4/13,24698.3
625,1390/4/14,24816.6
626,1390/4/15,24801.1
627,1390/4/18,24716.9
628,1390/4/19,24541.1
629,1390/4/20,24503.8
630,1390/4/21,24387.1
631,1390/4/22,24286.7
632,1390/4/25,24348.9
633,1390/4/27,24460.7
634,1390/4/28,24494.6
635,1390/4/29,24602.0
636,1390/5/1,24809.6
637,1390/5/2,25181.7
638,1390/5/3,25325.4
639,1390/5/4,25434.6
640,1390/5/5,25471.8
641,1390/5/8,25297.8
642,1390/5/9,25110.8
643,1390/5/10,25270.0
644,1390/5/11,25284.5
645,1390/5/12,25316.3
646,1390/5/15,25008.1
647,1390/5/16,24923.6
648,1390/5/17,24970.8
649,1390/5/18,24596.7
650,1390/5/19,24875.8
651,1390/5/22,24997.0
652,1390/5/23,25092.8
653,1390/5/24,25059.3
654,1390/5/25,25090.5
655,1390/5/26,25237.6
656,1390/5/29,25231.6
657,1390/5/30,25217.0
658,1390/6/1,25389.3
659,1390/6/2,25475.7
660,1390/6/5,25555.6
661,1390/6/6,25475.1
662,1390/6/7,25621.7
663,1390/6/8,25822.0
664,1390/6/12,26083.4
665,1390/6/13,26254.6
666,1390/6/14,26360.8
667,1390/6/15,26714.7
668,1390/6/16,26930.2
669,1390/6/19,27098.4
670,1390/6/20,27099.9
671,1390/6/21,27058.9
672,1390/6/22,26933.1
673,1390/6/23,26836.3
674,1390/6/26,26855.0
675,1390/6/27,26885.0
676,1390/6/28,26866.9
677,1390/6/29,26847.4
678,1390/6/30,26962.2
679,1390/7/3,26764.8
680,1390/7/4,26571.9
681,1390/7/5,26692.9
682,1390/7/6,26792.7
683,1390/7/9,26708.2
684,1390/7/10,26672.7
685,1390/7/11,26663.6
686,1390/7/12,26756.3
687,1390/7/13,26863.5
688,1390/7/16,26912.8
689,1390/7/17,26868.8
690,1390/7/18,26819.4
691,1390/7/19,26903.0
692,1390/7/20,26844.2
693,1390/7/23,26668.3
694,1390/7/24,26291.2
695,1390/7/25,26159.4
696,1390/7/26,26158.8
697,1390/7/27,26207.7
698,1390/7/30,26150.8
699,1390/8/1,26049.6
700,1390/8/2,25875.0
701,1390/8/3,25924.8
702,1390/8/4,25915.4
